Car Name,Kilometers,Fuel,Transmission,Registration,EMI,Final Price,Location
2016 Tata Tiago,79222,Petrol,Manual,HR-13,"EMI ₹5,949/m*",₹5.00 lakh, Rasulpur road KK Gym Harinagar ward no 8 Faridabad
2017 Tata TIGOR,59924,Petrol,Manual,HR-70,₹2.81L₹2.26 lakh+ other charges,₹3.13 lakh, Jhajjar Jhajjarrural Haryana
2016 Renault Duster,86045,Diesel,Manual,HR-51,"EMI ₹13,345/m*",₹4.60 lakh, Jhajjar Courts Post Office Jhajjar Haryana
2020 Hyundai Creta,119593,Diesel,Manual,HR-33,₹9.76L₹7.56 lakh+ other charges,₹1.44 lakh, Mangwaki Mangwaki
2022 Tata ALTROZ,90004,CNG,Manual,HR-93,"EMI ₹7,154/m*",₹2.87 lakh, Bus Stand Bus Stand Jhajjar
2011 Hyundai i20,81808,CNG,Manual,HR-29,₹3.42L₹3.22 lakh+ other charges,₹1.77 lakh, Beri Beri
2015 Hyundai Grand i10,61626,Diesel,Manual,HR-51,"EMI ₹7,544/m*",₹4.13 lakh, 37/T Jhajjarrural Haryana
2017 Tata Zest,49715,Petrol,Manual,HR-31,₹4.49L₹4.27 lakh+ other charges,₹1.53 lakh, Silani gate Silani gate Jhajjar
2016 Maruti Alto 800,89558,Petrol,Manual,HR-31,"EMI ₹12,320/m*",₹3.35 lakh, Sainipura Mahendragarh
2012 Maruti Wagon R 1.0,170860,Petrol,Manual,HR-51,₹7.49L₹6.98 lakh+ other charges,₹4.15 lakh, city mall jhajjar near bhagat singh chowk Jhajjar
2020 Maruti Alto,56184,Petrol,Manual,HR-06,"EMI ₹21,148/m*",₹4.05 lakh, Kirpal Nagar Rohtak
2016 Maruti Alto 800,161503,Petrol,Manual,HR-06,₹14.77L₹12.35 lakh+ other charges,₹2.13 lakh, Gurgaon Rural Gurugram
2015 Hyundai Grand i10,119013,Diesel,Manual,HR-31,"EMI ₹7,993/m*",₹4.69 lakh, Jd hotel Jd hotel Jhajjar
2023 Volkswagen VIRTUS,113497,Petrol,Manual,HR-33,₹4.67L₹4.53 lakh+ other charges,₹2.35 lakh, Near oskar hospital District hospital jhajjar Ghaziabad
2017 Renault Kwid,170107,Petrol,Manual,HR-31,"EMI ₹20,081/m*",₹2.20 lakh, Rural Jhajjar
2012 Hyundai i10,96040,Petrol,Manual,HR-08,₹10.75L₹10.55 lakh+ other charges,₹2.55 lakh, Near Bus stand Matanhail Matanhail
2014 Maruti Alto K10,78242,Petrol,Manual,HR-90,"EMI ₹12,443/m*",₹3.65 lakh, Jhajjar Jhajjarrural Haryana
2014 Toyota Etios,173275,Diesel,Manual,HR-31,₹11.13L₹7.05 lakh+ other charges,₹1.63 lakh, Bhadana Bhadana Jhajjar
2013 Hyundai i20,125150,Diesel,Manual,HR-31,"EMI ₹6,168/m*",₹4.79 lakh, bus stand Charkhi Dadri
2020 KIA SELTOS,141133,Diesel,Manual,HR-14,₹4.06L₹3.49 lakh+ other charges,₹2.48 lakh, Model Town Jhajjar Haryana
2015 Renault Duster,166522,Diesel,Manual,HR-12,"EMI ₹6,788/m*",Account , Achhej Achhej
2012 Maruti Ritz,128963,Diesel,Manual,HR-02,₹3.85 lakh+ other charges,₹2.11 lakh, Sector 1 Rewari Haryana
2012 Renault Duster,123949,Diesel,Manual,HR-13,"EMI ₹8,826/m*",₹4.00 lakh, Garhi Bolni Road Rewari Haryana
2023 Hyundai Verna,13632,Petrol,Manual,HR-02,₹5.64L₹5.00 lakh+ other charges,₹6.76 lakh, near kala shadan gopal dev chowk rewari Rewari
2017 Hyundai Creta,102752,Diesel,Manual,HR-12,"EMI ₹8,120/m*",₹5.36 lakh, Khasapura Rewari Haryana
2014 Hyundai i20,97496,Diesel,Manual,HR-10,₹5.33L₹4.60 lakh+ other charges,₹1.10 lakh, New Aanaj Mandi Rewari Haryana
2011 Hyundai i10,98976,CNG,Manual,HR-36,"EMI ₹9,542/m*",₹1.99 lakh, Model Town Rewari Haryana
2014 Honda Mobilio,138782,Diesel,Manual,HR-10,₹4.99L₹2.87 lakh+ other charges,₹2.85 lakh, House no 6 A Gali no 1 Shakti nagar part 1 Rewari Haryana Rewari
2017 Mahindra XUV500,125986,Diesel,Manual,HR-18,"EMI ₹4,661/m*",₹1.66 lakh, 2 2 Rewari
2020 Maruti Alto,73358,CNG,Manual,HR-36,₹1.88L₹1.77 lakh+ other charges,₹1.08 lakh, Kanya ji society Rewari Haryana
2022 Renault TRIBER,135102,Petrol,Manual,HR-05,"EMI ₹2,991/m*",₹2.23 lakh, Shakti Nagar Rewari Near Little Kingdom School Rewari
2012 Nissan Micra,199038,Diesel,Manual,HR-13,₹2.39L₹1.53 lakh+ other charges,₹1.65 lakh, Model Town Rewari Haryana
2015 Jaguar XF,104840,Diesel,Manual,HR-10,"EMI ₹7,452/m*",₹1.50 lakh, VPO Turkiawas District Rewari ( Near Ambekar Chowk) Rewari
2024 Maruti BREZZA,11607,Petrol,Manual,HR-29,₹3.65L₹3.35 lakh+ other charges,₹11.50 lakh, near ICICI bank Yes bank limited sco 113 ground floor brass market rewari near ICICI bank limited rewari Yes bank limited sco 113 ground floor brass market rewari near ICICI bank limited rewari Rewari
2018 Renault Duster,100754,Diesel,Manual,HR-29,"EMI ₹7,918/m*",₹1.15 lakh, 0 0 Boria Kamalpur
2020 KIA SELTOS,100771,Diesel,Manual,HR-31,₹4.40L₹4.05 lakh+ other charges,₹1.00 lakh, Khasapura Rewari Haryana
2023 Mahindra SCORPIO-N,38836,Diesel,Manual,HR-98,"EMI ₹10,025/m*",₹1.72 lakh, Tint khori narnol rod Rewari
2011 Audi Q7,129576,Diesel,Manual,HR-05,₹2.13 lakh+ other charges,₹2.21 lakh, GURUTEK CITY B-BLOCK Rewari - Kotkasim Road B 184 groumd floor Rewari
2017 Toyota Fortuner,158859,Diesel,Manual,HR-29,"EMI ₹8,279/m*",₹1.70 lakh, HARYANA Landmark:Haryana Rewari
2018 Toyota Fortuner,140014,Diesel,Manual,HR-03,₹4.89L₹4.69 lakh+ other charges,₹9.00 lakh, shiv mandir Rewari Haryana
2013 Maruti Ritz,100317,Diesel,Manual,HR-71,"EMI ₹6,188/m*",₹1.80 lakh, Rajeev Nager Rajeev Nager Rewari
2021 Honda Amaze,120545,CNG,Manual,PB-65,₹2.40L₹2.35 lakh+ other charges,Account , Subhash Nagar Rohtak
2015 Renault Kwid,23734,Petrol,Manual,CH-01,"EMI ₹3,881/m*",Account , Kirpal Nagar Rohtak
2020 Hyundai Creta,135976,Diesel,Manual,PB-13,₹2.25L₹2.20 lakh+ other charges,₹1.04 lakh, Sector-22 Rohtak Haryana
2013 Maruti Wagon R 1.0,93049,CNG,Manual,CH-01,"EMI ₹4,985/m*",₹1.50 lakh, Shahdara New Delhi Delhi
2011 Maruti Wagon R 1.0,84753,Petrol,Manual,PB-11,₹2.60L₹2.55 lakh+ other charges,₹9.60 lakh, Rajendra Nagar Rohtak Haryana
2025 Hyundai NEW I20,11185,Petrol,Manual,CH-01,"EMI ₹6,443/m*",₹4.90 lakh, Devi Vihar Rohtak Haryana
2017 Maruti Vitara Brezza,114602,Diesel,Manual,HR-26,₹3.65 lakh+ other charges,₹2.20 lakh, Sector 24 Rohtak
2013 Nissan Terrano,121136,Diesel,Manual,PB-35,"EMI ₹2,879/m*",₹1.00 lakh, Rajendra Nagar Rohtak Haryana
2018 Maruti Vitara Brezza,81599,Diesel,Manual,HR-54,₹2.42L₹1.63 lakh+ other charges,₹1.85 lakh, Royal vatika Royal vatika Bohar
2013 Hyundai Eon,115168,Petrol,Manual,JK-02,"EMI ₹5,517/m*",₹5.21 lakh, Near munna sweets Four Petals Rohtak
2017 Tata NEXON,153913,Diesel,Manual,CH-01,₹2.69L₹2.48 lakh+ other charges,₹2.50 lakh, Baba Mastnath Nagar Rohtak Haryana
2018 Tata TIGOR,92793,Diesel,Manual,PB-08,"EMI ₹3,158/m*",₹2.90 lakh, Ekta Colony Ekta Colony Rohtak
2013 Maruti Ritz,101323,Diesel,Manual,CH-01,₹1.79 lakh+ other charges,₹1.00 lakh, Jagdish Colony Rohtak Haryana
2020 Hyundai Elite i20,87061,Petrol,Manual,HR-01,"EMI ₹6,620/m*",₹5.15 lakh, Rohtak bus stand Rohtak
2017 Honda WR-V,252995,Diesel,Manual,CH-01,₹3.90L₹3.75 lakh+ other charges,₹11.20 lakh, Rajendra Nagar Rohtak
2021 MG HECTOR PLUS,64711,Diesel,Manual,HR-51,"EMI ₹5,808/m*",₹4.55 lakh, Indian complax Indian complax Rohtak
2021 Jeep Compass,86579,Petrol,Manual,HR-08,₹3.29 lakh+ other charges,₹10.30 lakh, new rajindra colony bhiwani chungi rohtak Rohtak
2018 Maruti Wagon R 1.0,58764,Petrol,Manual,HR-09,"EMI ₹7,242/m*",₹16.10 lakh, Janta colony near triveni Park Rohtak
2019 Maruti Baleno,66791,Petrol,Manual,UP-21,₹3.70L₹2.75 lakh+ other charges,₹4.47 lakh, Hari Singh Colony Rohtak Haryana
2023 Maruti Baleno,46071,Petrol,Manual,UP-23,"EMI ₹3,982/m*",₹18.80 lakh, Sector 24 Rohtak
2021 Tata Tiago,70448,CNG,Manual,UP-14,₹1.85L₹1.79 lakh+ other charges,₹19.70 lakh, Bahadurgarh - Chhara - Beri Road Mattan Haryana
2016 Ford Figo Aspire,68162,Petrol,Manual,UP-13,"EMI ₹8,826/m*",₹1.40 lakh, Udhyog Vihar Sankhol
2021 Tata NEXON,77764,Diesel,Manual,UP-32,₹5.64L₹5.00 lakh+ other charges,Account ," Vpo Ladpur, Jhajjar, Haryana Ladpur"
2014 Honda Amaze,102204,Petrol,Manual,UP-21,"EMI ₹3,881/m*",Account , Arya Nagar Bahadurgarh Haryana
2017 Hyundai Elite i20,42780,Petrol,Manual,UK-06,₹2.25L₹2.20 lakh+ other charges,Account , Tdi Tuscan Tdi Tuscan Sonipat
2021 Tata Tiago,46320,Petrol,Manual,UP-38,"EMI ₹4,985/m*",Account , trauma center room no 11 Civil Hospital Bahadurgarh Madhya Marg Jhajjar
2020 Maruti S PRESSO,120704,Petrol,Manual,UP-14,₹2.60L₹2.55 lakh+ other charges,₹4.70 lakh, Distt JhajjarPin code- ; Jhajjar
2020 Tata Tiago,40221,Petrol,Manual,UP-81,"EMI ₹12,024/m*",₹1.20 lakh, Model Town Bahadurgarh Haryana
2021 Hyundai GRAND I10 NIOS,99475,CNG,Manual,UP-21,₹4.57 lakh+ other charges,₹6.50 lakh, Vikash Nagar Bahadurgarh Haryana
2019 Tata NEXON,97713,CNG,Manual,UP-95,"EMI ₹9,515/m*",₹1.36 lakh, Omaxe galleria bahadurgarh Bahadurgarh
2023 MG ASTOR,28044,Petrol,Manual,UP-21,₹4.28 lakh+ other charges,₹0.73 lakh, Gubhana Majri
2019 Honda Amaze,79195,Petrol,Manual,UP-21,"EMI ₹8,611/m*",₹7.00 lakh, Shopping centre Shopping centre Bahadurgarh
2016 Maruti Alto 800,65898,Petrol,Manual,UP-21,₹4.91L₹3.27 lakh+ other charges,₹4.75 lakh, Jungi Mohla Kasaar Haryana
2017 Maruti Baleno,50569,Petrol,Manual,UP-16,"EMI ₹8,404/m*",₹1.36 lakh, Hno-1404 Sector-2 Jhajjar
2022 Nissan MAGNITE,80226,Petrol,Manual,UP-14,₹5.11L₹4.76 lakh+ other charges,₹4.90 lakh, Kassar Playground Jhajjar Haryana
2014 Hyundai Grand i10,51501,Petrol,Manual,DL-12,"EMI ₹4,801/m*",₹1.08 lakh, MASZID Bahadurgarh Bypass Haryana
2018 Hyundai Grand i10,82935,Petrol,Manual,UP-37,₹2.72 lakh+ other charges,₹3.30 lakh, Bupania Bupania
2023 KIA SELTOS,24049,Petrol,Manual,UP-14,"EMI ₹5,139/m*",₹3.00 lakh, Sector 2 Sector 2 Bahadurgarh
2015 Volkswagen Polo,103616,Diesel,Manual,HR-26,₹3.15L₹2.91 lakh+ other charges,₹1.94 lakh, MVCX+PHH Bahadurgarh Haryana
2011 Toyota Etios,131039,Petrol,Manual,UP-37,"EMI ₹6,600/m*",₹5.15 lakh, Sector 37 Bahadurgarh Haryana
2014 Toyota Innova,192912,Diesel,Manual,DL-13,₹3.44L₹2.97 lakh+ other charges,₹3.50 lakh, HUDA Panipat Haryana
2016 Maruti Vitara Brezza,147835,Diesel,Manual,DL-12,"EMI ₹13,847/m*",₹11.00 lakh, HUDA Panipat Haryana
2020 Hyundai VENUE,75807,Petrol,Manual,UP-14,₹8.96L₹8.09 lakh+ other charges,₹11.58 lakh, shop no mastanan chowk panipat panipat haryana Panipat
2016 Renault Kwid,53265,Petrol,Manual,UP-14,"EMI ₹4,493/m*",Account , Batra Colony Panipat Haryana
2019 Renault Kwid,52006,Petrol,Manual,UP-14,₹2.23L₹1.71 lakh+ other charges,Account , HUDA Panipat Haryana
2015 Maruti Wagon R 1.0,49284,Petrol,Manual,UP-38,"EMI ₹6,071/m*",Account , Cars24 Mehak Garden Near Indo Farm Sector 25 Part 2
2015 Maruti Wagon R 1.0,56546,Petrol,Manual,AS-11,₹3.18L₹2.73 lakh+ other charges,Account , Panipat Panipat Taraf Afghan Haryana
2012 Hyundai New Elantra,125000,Diesel,Manual,UP-37,"EMI ₹3,737/m*",Account , Old Housing Board Colony Panipat Haryana
2021 Maruti XL6,159061,Petrol,Manual,UP-84,₹1.79L₹1.68 lakh+ other charges,Account , Huda Panipat Haryana
2012 Volkswagen Polo,70089,Petrol,Manual,UP-14,"EMI ₹6,817/m*",Account , Panipat Panipat Taraf Makhdum Zadgan Haryana
2020 Hyundai GRAND I10 NIOS,38335,Petrol,Manual,UP-16,₹4.07L₹3.86 lakh+ other charges,Account , Thermal Colony Asan Khurd
2021 MG HECTOR PLUS,85974,Petrol,Manual,UP-75,"EMI ₹6,002/m*",₹2.51 lakh, Kabul Bagh Panipat Haryana
2016 Maruti Swift,13644,Petrol,Manual,UP-75,₹3.57L₹3.40 lakh+ other charges,₹4.50 lakh, Nr elite hotel Nr elite hotel Panipat
2017 Volvo S60,101874,Diesel,Manual,UP-75,"EMI ₹9,774/m*",₹5.61 lakh, Assandh Assandh Ruralpart
2014 Hyundai Santro Xing,89972,CNG,Manual,UP-85,₹6.30L₹5.54 lakh+ other charges,₹4.44 lakh, Hari Bagh Colony Panipat Haryana
2014 Datsun Go,142142,Petrol,Manual,UP-80,"EMI ₹15,131/m*",₹2.60 lakh, Panipat Karnal Division HR
2018 Renault Kwid,82193,Petrol,Manual,DL-10,₹9.57L₹8.84 lakh+ other charges,₹5.58 lakh, 168/1 Kishanpura Panipat Haryana Panipat
2013 Maruti Swift Dzire,97171,Diesel,Manual,MP-07,"EMI ₹5,024/m*",₹2.11 lakh, Kandhla Kairana
2011 Chevrolet Aveo,137162,CNG,Manual,UP-14,₹2.57 lakh+ other charges,₹4.14 lakh, Virat Nagar Panipat
2020 Maruti Swift,60546,Petrol,Manual,MP-07,"EMI ₹7,897/m*",₹4.42 lakh, Shop no. 27 Aggarwal gali no.1 Gohana Road panipat (Haryana ) City - panipat Panipat
2012 Maruti Swift,212482,Diesel,Manual,UP-80,₹3.79L₹3.55 lakh+ other charges,₹2.62 lakh," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2012 Maruti Swift Dzire,119884,Diesel,Manual,MP-07,Not available on EMI,₹3.54 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2013 Honda Brio,63196,Petrol,Manual,UP-24,₹3.81L₹3.13 lakh+ other charges,₹4.61 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2012 Maruti Swift Dzire,144574,CNG,Manual,UP-16,"EMI ₹8,120/m*",₹4.91 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2023 Tata PUNCH,64643,Petrol,Manual,UP-86,₹5.33L₹4.60 lakh+ other charges,₹7.77 lakh," GNB Mall, Raj Nagar Extension, Ghaziabad"
2013 Hyundai Eon,41782,Petrol,Manual,UP-86,"EMI ₹2,815/m*",₹3.59 lakh," Radisson Blu, Sector 13, Dwarka, New Delhi"
2020 Mahindra Bolero,68806,Diesel,Manual,UP-75,₹2.04L₹1.44 lakh+ other charges,₹1.91 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2017 Maruti Ertiga,119696,CNG,Manual,UP-75,"EMI ₹9,542/m*",₹3.65 lakh," Wave One Mall, Sec-18, Noida"
2017 Maruti Swift,78928,Petrol,Manual,UP-79,₹4.99L₹2.87 lakh+ other charges,₹5.21 lakh," Gaur City mall, Multilevel parking, Greater Noida"
2016 Hyundai Elite i20,83209,Diesel,Manual,UP-78,"EMI ₹4,661/m*",₹2.27 lakh," M3M Urbana, Golf Course Ext., Gurugram"
2011 Hyundai Verna,96520,CNG,Manual,UP-74,₹1.88L₹1.77 lakh+ other charges,₹2.99 lakh," Metro Walk, Rohini, New Delhi"
2017 Renault Kwid,68579,Petrol,Manual,UP-78,"EMI ₹7,284/m*",Account ," Radisson Blu, Sector 13, Dwarka, New Delhi"
2017 Hyundai Xcent,85164,Diesel,Manual,UP-78,₹4.37L₹4.13 lakh+ other charges,Account ," GNB Mall, Raj Nagar Extension, Ghaziabad"
2018 Maruti Wagon R 1.0,58360,Petrol,Manual,UP-78,"EMI ₹2,991/m*",Account ," Metro Walk, Rohini, New Delhi"
2013 Maruti Swift Dzire,85930,Diesel,Manual,UP-78,₹2.39L₹1.53 lakh+ other charges,Account ," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2014 Hyundai Eon,50908,Petrol,Manual,UP-74,"EMI ₹7,452/m*",Account ," Piyush Mahendra Mall, opp. Dussehra Ground, NIT - 3"
2019 Maruti Vitara Brezza,107381,Diesel,Manual,UP-78,₹3.65L₹3.35 lakh+ other charges,Account ," Metro Walk, Rohini, New Delhi"
2012 Maruti Wagon R 1.0,76254,Petrol,Manual,UP-78,"EMI ₹7,326/m*",Account ," Gaur City mall, Multilevel parking, Greater Noida"
2012 Maruti Swift Dzire,79364,Petrol,Manual,UP-78,₹4.25L₹4.15 lakh+ other charges,Account ," M3M Urbana, Golf Course Ext., Gurugram"
2016 Maruti Alto 800,73569,CNG,Manual,UP-78,"EMI ₹7,918/m*",₹10.88 lakh," Metro Walk, Rohini, New Delhi"
2012 Hyundai i20,100753,Petrol,Manual,UP-14,₹4.40L₹4.05 lakh+ other charges,₹2.42 lakh, Sundar Nagar Hisar Haryana
2018 Renault Kwid,99456,CNG,Manual,UP-78,"EMI ₹10,025/m*",₹1.31 lakh, Gangwa Hisar Haryana
2015 Maruti Swift,132000,Diesel,Manual,UP-78,₹2.13 lakh+ other charges,₹5.62 lakh, Nera tikona park Friends colony Hisar Tikona park Hisar
2024 Tata NEXON,40516,CNG,Manual,UP-78,"EMI ₹8,279/m*",₹5.10 lakh, Gangwa Hisar Haryana
2012 Maruti Wagon R 1.0,33887,Petrol,Manual,UP-78,₹4.89L₹4.69 lakh+ other charges,₹5.21 lakh, Hisar Hisar Division Hisar
2023 MG ASTOR,39973,Petrol,Manual,UP-81,"EMI ₹6,188/m*",₹1.61 lakh, Mehta Nagar Hisar Haryana
2012 Maruti Wagon R 1.0,78154,Petrol,Manual,UP-78,₹2.40L₹2.35 lakh+ other charges,₹2.35 lakh, Arya Nagar Hisar Haryana
2012 Maruti Wagon R 1.0,124531,Petrol,Manual,UP-78,"EMI ₹6,443/m*",₹1.90 lakh, Sector 13 Hisar Haryana
2015 Renault Kwid,46171,Petrol,Manual,UP-78,₹3.65 lakh+ other charges,₹1.87 lakh, Urban Estate II Hisar Haryana
2018 Honda Amaze,86844,Petrol,Manual,UP-78,"EMI ₹2,879/m*",₹2.27 lakh, 66 66 Hisar
2019 Tata Tiago,70142,CNG,Manual,UP-57,₹2.42L₹1.63 lakh+ other charges,₹7.38 lakh, Krishna Nagar Colony Hisar Haryana
2018 Maruti Celerio,91252,CNG,Manual,UP-65,"EMI ₹8,457/m*",₹1.82 lakh, hisar little angel school Hisar
2013 Maruti Swift Dzire,108834,Petrol,Manual,UP-66,₹5.28L₹4.79 lakh+ other charges,₹4.60 lakh, Priti nagar Priti nagar Hisar
2013 Hyundai Eon,105766,CNG,Manual,UP-65,"EMI ₹5,517/m*",₹12.00 lakh, Azad Nagar Gangwa Haryana
2013 Hyundai Eon,60001,CNG,Manual,UP-78,₹2.69L₹2.48 lakh+ other charges,₹2.90 lakh, raj enterprises vpo mattershyam hisar b us stand Hisar
2016 Hyundai Grand i10,109787,Petrol,Manual,UP-70,"EMI ₹3,158/m*",₹13.89 lakh, Sector 13 Hisar Haryana
2020 Maruti Baleno,21961,Petrol,Manual,UP-70,₹1.79 lakh+ other charges,₹1.30 lakh, Azad Nagar Hisar
2014 Mahindra Bolero,185818,Diesel,Manual,UP-70,"EMI ₹6,620/m*",₹0.95 lakh, HNO 16/C SCHOLAR COLONY GANGWA NEAR COMMUNITY CENTRE Hisar
2016 Maruti Vitara Brezza,113662,Diesel,Manual,UP-70,₹3.90L₹3.75 lakh+ other charges,₹1.93 lakh, Industrial Area Hisar Haryana
2013 Mahindra XUV500,165374,Diesel,Manual,UP-70,"EMI ₹10,775/m*",Account , Dhansu Haryana India
2024 Hyundai VENUE,27474,Diesel,Manual,UP-32,₹6.26L₹6.10 lakh+ other charges,Account , Agrasain Colony Sirsa Haryana
2014 Hyundai i10,71357,Petrol,Manual,UP-70,"EMI ₹5,561/m*",Account , Fatehabad Hisar Division HR
2020 Datsun Redi Go,75725,CNG,Manual,UP-14,₹2.56L₹2.50 lakh,Account , Old Fatehabad Fatehabad Haryana
2017 Maruti Vitara Brezza,129523,Diesel,Manual,UP-14,"EMI ₹3,025/m*",Account , Maniram Godara college Fatehabad Haryana
2020 Tata Harrier,73794,Diesel,Manual,UP-32,₹1.36 lakh,Account , House no c 10 House no c 10 Sirsa
2019 Maruti Ertiga,133089,Diesel,Manual,UP-71,"EMI ₹7,108/m*",Account , VILLAGE MAJRA POST FATEHABAD THANA FATEHABAD NEAR PLAY GROUND Fatehabad
2017 Mahindra Kuv100,80571,Diesel,Manual,UP-70,₹0.90L₹0.80 lakh,Account , Old Fatehabad Fatehabad Haryana
2015 Maruti Ertiga,88834,Diesel,Manual,UP-14,"EMI ₹4,148/m*",Account , House no 2 House no 2 Fatehabad
2014 Nissan Terrano,120510,Diesel,Manual,UP-70,₹2.35 lakh,Account , Professor Colony Fatehabad Haryana
2020 Hyundai Creta,115912,Diesel,Manual,UP-44,Not available on EMI,Account , Near jai bharat high school Voo phool tamspura road Hisar
2017 Mahindra Scorpio,88136,Diesel,Manual,UP-44,₹1.98 lakh,Account , Bhima Basti Fatehabad Haryana
2021 Hyundai NEW SANTRO,65436,Petrol,Manual,UP-53,"EMI ₹8,427/m*",Account ," Dhani bhuna road, vpo Gorakhpur distt Fatehabad Gorakhpur"
2022 Mahindra XUV700,96011,Diesel,Manual,UP-53,₹3.20 lakh,Account , Model Town Fatehabad Haryana
2016 Mahindra TUV300,120314,Diesel,Manual,UP-51,"EMI ₹6,673/m*",Account , Jagjivan Pura Fatehabad Haryana
2016 Volkswagen Ameo,157443,Petrol,Manual,UP-53,₹3.78 lakh,Account , Batra Colony Fatehabad Haryana
2024 Hyundai AURA,63306,CNG,Manual,UP-53,"EMI ₹6,249/m*",Account , fatehabad haryana Fatehabad
2020 Renault TRIBER,74381,Petrol,Manual,UP-58,₹3.54 lakh,Account , Ellenabad Sirsa Haryana
2023 Honda Amaze,43541,Petrol,Manual,UP-52,"EMI ₹9,217/m*",Account , On pawan kiryana store Hissar Haryana Sirsa
2015 Maruti Swift Dzire,92676,Diesel,Manual,UP-52,₹3.51L₹3.50 lakh,Account , 111 Hotel wellen all rounder hissar road sirsa Khairpur chowky Sirsa
2021 Maruti New Wagon-R,131002,CNG,Manual,UP-53,"EMI ₹7,944/m*",Account , Sirsa Hisar Division Sirsa
2019 Maruti Eeco,226426,Petrol,Manual,ML-05,₹4.64L₹4.50 lakh,Account , Sirsa Fatehabad Haryana
2013 Tata Indica EV2,91613,Diesel,Manual,UP-53,"EMI ₹11,951/m*",Account , Begu Rd Sirsa Haryana
2017 Maruti Vitara Brezza,87437,Diesel,Manual,UP-85,₹6.77 lakh,Account , Ellenabad Sirsa Haryana
2021 Honda WR-V,184024,Diesel,Manual,UK-07,"EMI ₹5,649/m*",Account , UNITED CARGO MOVERS Preet Nagar Sirsa
2024 Tata PUNCH,38983,CNG,Manual,UP-53,₹3.50L₹3.20 lakh,Account , Agrasain Colony Sirsa Haryana
2012 Maruti Wagon R 1.0,61455,Petrol,Manual,UP-52,"EMI ₹10,609/m*",Account , M.C. Colony Sirsa
2014 Hyundai Eon,50724,Petrol,Manual,UP-14,₹6.01 lakh,Account , Shastri Colony Sirsa
2012 Maruti Wagon R 1.0,128608,CNG,Manual,UP-80,"EMI ₹7,291/m*",Account , Sant Nagar Colony Sirsa
2015 Hyundai Eon,58000,Petrol,Manual,UP-53,₹4.13 lakh,Account , Shastri Colony Sirsa Haryana
2015 Maruti Alto 800,26958,Petrol,Manual,UP-15,"EMI ₹10,344/m*",Account , Ellenabad Sirsa
2018 Hyundai Grand i10,158235,Diesel,Manual,UP-61,₹5.21L₹4.65 lakh,Account , Soni booking services chowk no- 3 suratgadia bazar beri wali gali sirsa
2013 Hyundai i20,100002,Diesel,Manual,UP-33,"EMI ₹8,965/m*",Account , near Choudhary Nursing Home Sirsa Haryana
2016 Tata Zest,91107,Petrol,Manual,UP-32,₹4.03 lakh,Account , Khanna Colony Sirsa Haryana
2021 Maruti Dzire,113974,Petrol,Manual,UP-21,"EMI ₹49,210/m*",Account , Railway Colony Sirsa Haryana
2016 Renault Kwid,59322,Petrol,Manual,UP-78,₹28.74 lakh,₹2.00 lakh, Sector 14 Hisar Haryana
2022 Maruti S PRESSO,57864,Petrol,Manual,UP-32,"EMI ₹14,451/m*",₹1.20 lakh, M.C. Colony Sirsa Haryana
2020 Hyundai AURA,68457,Diesel,Manual,UP-40,₹8.44 lakh,₹4.21 lakh, Verma disposal part near bal Darmarth hospital Bhiwani Road jind Bhiwani road ajmer basti Jind
2017 Maruti Dzire,19300,Petrol,Manual,UP-70,"EMI ₹18,458/m*",₹2.16 lakh, Ashri Gate Jind Haryana
2019 Hyundai GRAND I10 NIOS,48018,Petrol,Manual,UP-53,₹10.78 lakh,₹1.92 lakh, Patiala Chowk Jind
2013 Renault Duster,63681,Diesel,Manual,UP-81,"EMI ₹10,566/m*",₹1.50 lakh, Amarheri Jind Haryana
2012 Chevrolet Beat,37757,Petrol,Manual,UP-70,₹4.75 lakh,₹1.90 lakh, Urban Estate Jind Haryana
2021 Nissan MAGNITE,70992,Petrol,Manual,UP-81,"EMI ₹9,976/m*",₹5.50 lakh, V P O (khokhri) Jind Haryana Jind
2017 Hyundai Grand i10,75926,Diesel,Manual,UP-81,₹3.00 lakh,₹1.50 lakh, Ganesh Colony Bhuna
2016 Maruti Swift Dzire,96818,CNG,Manual,UP-32,"EMI ₹5,978/m*",₹5.92 lakh, Barwala Barwala
2013 Maruti Swift Dzire,91662,Diesel,Manual,UP-60,₹1.27 lakh,₹3.50 lakh, Scheme No 19 Jind Haryana
2013 Tata Safari Storme,100000,Diesel,Manual,UP-53,"EMI ₹5,649/m*",₹3.11 lakh, Urban Estate Jind Haryana
2013 Hyundai Eon,126840,CNG,Manual,UP-16,₹1.20 lakh,₹3.14 lakh, Urban Estate Jind Haryana
2013 Volkswagen Polo,91619,Petrol,Manual,UP-32,"EMI ₹8,304/m*",₹1.40 lakh, Scheme No 19 Jind Haryana
2016 Maruti Wagon R 1.0,40758,CNG,Manual,UP-23,₹2.70L₹2.50 lakh,₹1.52 lakh, Near Dalamwala Hospital Safidon road Jind
